French,English
histoire,history
chercher,search
pensais,thought
demande,request
laisser,let
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
revoir,meet again
savais,knew
étaient,were
voici,here is
affaire,case
donner,give
leurs,their
donné,given
corps,body
yeux,eyes
écoute,listen
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
point,point
venu,came
suite,after
pardon,sorry
minutes,minutes
droit,law
aujourd'hui,today
mari,husband
eau,water
parti,left
nouvelle,new
boulot,job
terre,Earth
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
